id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
68905100 15.2825 0.0908343121409416 0.0258000008761883 726.743896484375 962.233825683594 312.756243 44.260921 0.005164857 0.0 13.4920 6566 R -Rc- 2458370.32077622 33 56 "[118] IC5070_incl_201_V2492Cyg" 6455
125675225 17.5691 0.150597557425499 0.095100000500679 2111.51953125 1577.25610351562 312.756125 44.260922 0.002243469 0.0 17.8099 13584 B Blue 2458707.49481771 7 2 "[118] IC5070_incl_201_V2492Cyg" 13215
14677108 15.3633 0.058855764567852 0.0059000002220273 2161.43872070312 1653.69055175781 312.755447 44.260928 0.00102646 3.0 14.7500 1025 R Red 2457664.35039497 7 2 "[118] IC5070_incl_201_V2492Cyg" 970
65084296 16.2870 0.191629454493523 0.0835999995470047 457.508911132812 959.465576171875 312.755535 44.260928 0.001837587 0.0 15.4055 5049 V -SG- 2458332.37138889 33 56 "[118] IC5070_incl_201_V2492Cyg" 4603
83353203 14.3490 0.108146004378796 0.0156999994069338 1710.31042480469 1748.45129394531 312.756206 44.26093 0.003593439 0.0 14.7199 8509 I I 2458441.31642361 54 79 "[118] IC5070_incl_201_V2492Cyg" 8329
41211757 15.3405 0.0815931335091591 0.00760000012814999 2265.62109375 1597.36279296875 312.75693 44.260933 0.0009252034 3.0 14.9157 3208 R Red 2458063.29240612 7 2 "[118] IC5070_incl_201_V2492Cyg" 2912
67839085 16.0795 0.128191664814949 0.0603000000119209 764.395385742188 986.432312011719 312.756091 44.260933 0.001408348 2.0 14.5087 6170 V -V- 2458357.53768973 33 56 "[118] IC5070_incl_201_V2492Cyg" 5877
178775154 17.6873 0.0 0.0869999974966049 2387.80053710938 2513.50805664062 312.756907 44.26094 0.0008339729 512.0 27.0251 29982 B Blue 2458998.49583333 58 150 "[118] IC5070_incl_201_V2492Cyg" 29933
67835888 15.2781 0.420253813266754 0.0153000000864267 420.7958984375 32.3356018066406 312.756656 44.260942 0.00311272 0.0 13.8637 6166 R R 2458357.44652778 40 49 "[118] IC5070_incl_201_V2492Cyg" 5873
128152473 16.2789 0.159437656402588 0.0603000000119209 2061.14379882812 1592.30310058594 312.755942 44.260942 0.001079524 0.0 17.4328 13826 V Visual 2458717.57906829 7 2 "[118] IC5070_incl_201_V2492Cyg" 13456
